gid,pid,detail,off,def,type,qb,trg,bc,qtr,los,dwn,ytg,yfog,zone,yds,succ,fd,sg,nh,comp,ints,box,avt,pru,spru,blz,dblz,ttsk,pap,side,high,oop,shov,scre,qbp,qbhi,qbhu,htm,tay,dot,dotr,cov,cnb,crr,yac,yaco,mbt,drp,intw,back,defpr1,defpr2,defhi,defhu1,defhu2
5064,830291,(8:51) (Shotgun) B.Mayfield pass incomplete short middle to D.Harris (J.Brown).,CLE,TEN,PASS,BM-0650,DH-1450,,2,CLE 39,2,1,39,2,,0,0,1,0,0,0,7,5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,7,3,2,1,0,0,0,0,0,0,1,JC-1700,,,,
5064,830292,(8:43) (Shotgun) B.Mayfield pass incomplete deep right to J.Landry.,CLE,TEN,PASS,BM-0650,JL-0215,,2,CLE 39,3,1,39,2,,0,0,1,0,0,0,6,4,6,0,2,0,0,0,0,0,1,0,0,1,0,1,0,44,32,4,1,0,0,0,0,0,0,0,1,JC-1700,,,JC-1700,
5064,830294,(8:27) D.Henry right end ran ob at TEN 33 for 18 yards (C.Kirksey).,TEN,CLE,RUSH,DH-2450,,DH-2450,2,TEN 15,1,10,15,1,18,1,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,1,,,,,
5064,830295,(7:50) (Shotgun) M.Mariota pass incomplete short right to M.Pruitt [D.Ward].,TEN,CLE,PASS,MM-0912,MP-2350,,2,TEN 33,1,10,33,2,,0,0,1,0,0,0,7,5,5,0,1,1,0,1,0,0,1,0,0,1,1,1,0,18,0,0,0,0,0,0,0,0,0,0,1,DW-0850,,DW-0850,DW-0850,
5064,830296,(7:44) (Shotgun) M.Mariota pass short left to J.Smith to TEN 40 for 7 yards (T.Mitchell).,TEN,CLE,PASS,MM-0912,JS-4550,,2,TEN 33,2,10,33,2,7,1,0,1,0,1,0,6,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,1,0,0,0,4,4,0,0,0,0,,,,,
5064,830297,(7:06) (Shotgun) M.Mariota pass short right to A.Humphries ran ob at TEN 45 for 5 yards.,TEN,CLE,PASS,MM-0912,AH-3862,,2,TEN 40,3,3,40,2,5,1,1,1,0,1,0,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,1,0,0,0,0,0,0,0,0,1,,,,,
5064,830298,(6:37) D.Henry right end to CLE 47 for 8 yards (S.Richardson).,TEN,CLE,RUSH,DH-2450,,DH-2450,2,TEN 45,1,10,45,3,8,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,,,,,
5064,830299,(5:57) M.Mariota sacked at TEN 44 for -9 yards (M.Burnett).,TEN,CLE,PASS,MM-0912,,,2,CLE 47,2,2,53,3,-9,0,0,0,0,0,0,7,3,5,0,1,1,2.2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,MB-5100,,MB-5100,,
5064,830300,(5:18) (Shotgun) M.Mariota pass incomplete deep middle to C.Davis.,TEN,CLE,PASS,MM-0912,CD-0975,,2,TEN 44,3,11,44,3,,0,0,1,0,0,0,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,22,3,1,0,0,0,0,0,0,0,2,,,,,
5064,830302,"(5:03) N.Chubb left guard to CLE 30 for 2 yards (H.Landry). PENALTY on CLE-G.Robinson, Disqualification, 15 yards, enforced at CLE 30.",CLE,TEN,RUSH,NC-0175,,NC-0175,2,CLE 28,1,10,28,2,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,,,,,
